signal_strength,llr
0.000000000000000000e+00,5.112904290845747823e-01
7.282636767044981451e-04,4.913988527051671440e-01
1.456527353408996290e-03,4.715072763257524002e-01
2.184791030113494327e-03,4.516156999463376565e-01
2.913054706817992581e-03,4.317241235669371235e-01
3.641318383522490834e-03,4.118325471875294852e-01
4.369582060226988654e-03,3.919409708081289523e-01
5.097845736931487341e-03,3.720493944287142085e-01
5.826109413635985161e-03,3.521578180493065702e-01
6.554373090340482981e-03,3.322662416698918264e-01
7.282636767044981668e-03,3.123752526970875465e-01
8.010900443749479488e-03,2.925812483129988095e-01
8.739164120453977308e-03,2.743574274466382690e-01
9.467427797158475128e-03,2.564343058213438553e-01
1.019569147386297468e-02,2.395054691197486818e-01
1.092395515056747250e-02,2.230274360671558043e-01
1.165221882727197032e-02,2.065590923631219766e-01
1.238048250397646814e-02,1.901881435956624955e-01
1.310874618068096596e-02,1.738495728039453070e-01
1.383700985738546552e-02,1.575288304869530975e-01
1.456527353408996334e-02,1.412329803305851783e-01
1.529353721079446116e-02,1.251247238750892166e-01
1.602180088749895898e-02,1.091907611513178722e-01
1.675006456420345680e-02,9.881125761391018614e-02
1.747832824090795462e-02,9.068681548129831071e-02
1.820659191761245244e-02,8.293038479876457814e-02
1.893485559431695026e-02,7.531138348304011743e-02
1.966311927102145155e-02,6.820413929982294121e-02
2.039138294772594936e-02,6.185983255348759258e-02
2.111964662443044718e-02,5.552591746751289747e-02
2.184791030113494500e-02,4.920122093852796752e-02
2.257617397783944282e-02,4.296907089182155914e-02
2.330443765454394064e-02,3.676489786889192146e-02
2.403270133124843846e-02,3.068239317112642084e-02
2.476096500795293628e-02,2.599270216317250970e-02
2.548922868465743410e-02,2.197529617256321899e-02
2.621749236136193192e-02,1.804800666079842131e-02
2.694575603806642974e-02,1.413212540987984767e-02
2.767401971477093103e-02,1.023863453686146840e-02
2.840228339147542885e-02,7.423251455861645809e-03
2.913054706817992667e-02,5.225445747818469044e-03
2.985881074488442449e-02,3.520978672071350957e-03
3.058707442158892231e-02,2.293959411325374731e-03
3.131533809829342013e-02,1.090499440458359004e-03
3.204360177499791795e-02,0.000000000000000000e+00
3.277186545170241577e-02,1.128012235909636729e-03
3.350012912840691359e-02,5.073968724708777245e-03
3.422839280511141141e-02,9.579699405612984719e-03
3.495665648181590923e-02,1.450645908746395207e-02
3.568492015852040705e-02,1.970600630578900336e-02
3.641318383522490487e-02,2.518015130065265339e-02
3.714144751192940269e-02,3.073234874622698953e-02
3.786971118863390051e-02,3.631066707094277035e-02
3.859797486533839833e-02,4.229125021859658773e-02
3.932623854204290309e-02,4.835366524815754019e-02
4.005450221874740091e-02,5.507753011270466459e-02
4.078276589545189873e-02,6.212642446551086550e-02
4.151102957215639655e-02,6.982934150077824142e-02
4.223929324886089437e-02,7.760812336979228121e-02
4.296755692556539219e-02,8.543256637471330350e-02
4.369582060226989001e-02,9.329204498681775704e-02
4.442408427897438783e-02,1.012248955491443780e-01
4.515234795567888565e-02,1.092630022702110182e-01
4.588061163238338347e-02,1.173928193503002149e-01
4.660887530908788129e-02,1.255404179099102180e-01
4.733713898579237911e-02,1.337725661126683008e-01
4.806540266249687693e-02,1.425281523615495871e-01
4.879366633920137475e-02,1.523030908993945332e-01
4.952193001590587257e-02,1.655549140108121264e-01
5.025019369261037039e-02,1.790284926273457700e-01
5.097845736931486821e-02,1.926291622184379548e-01
5.170672104601936603e-02,2.063107841553133426e-01
5.243498472272386385e-02,2.200078505197282652e-01
5.316324839942836167e-02,2.338180063290238309e-01
5.389151207613285949e-02,2.479544206852395405e-01
5.461977575283736425e-02,2.621019070582235599e-01
5.534803942954186207e-02,2.762684550040148679e-01
5.607630310624635989e-02,2.912503378201662940e-01
5.680456678295085771e-02,3.065058203871160458e-01
5.753283045965535553e-02,3.228373350960538346e-01
5.826109413635985335e-02,3.392081446550179180e-01
5.898935781306435117e-02,3.558022924939194809e-01
5.971762148976884899e-02,3.729277247223166114e-01
6.044588516647334681e-02,3.902065988404856967e-01
6.117414884317784463e-02,4.074930929580204975e-01
6.190241251988234245e-02,4.248025041891239084e-01
6.263067619658684027e-02,4.421400561517430106e-01
6.335893987329134502e-02,4.595302816964945691e-01
6.408720354999583591e-02,4.769923798561492845e-01
6.481546722670034066e-02,4.944699177481481911e-01
6.554373090340483154e-02,5.142729965128083336e-01
6.627199458010933630e-02,5.344681958375190334e-01
6.700025825681382718e-02,5.550509363981603883e-01
6.772852193351833194e-02,5.757654326749417351e-01
6.845678561022282282e-02,5.971263885747788436e-01
6.918504928692732758e-02,6.188120806053518663e-01
6.991331296363181846e-02,6.406382032529123194e-01
7.064157664033632322e-02,6.624701027221391314e-01
7.136984031704081410e-02,6.847983995585664729e-01
7.209810399374531886e-02,7.072036416446039198e-01
